article,project,views_ceil,rank,country,date,article_clean,query,summary,sentiment
Aserbajdsjan,da.wikipedia,6300,6,dk,2021-06-28 18:27:44.725419,aserbajdsjan,Azerbaijan,"Azerbaijan (UK:  (listen), US: ; Azerbaijani: Azərbaycan [ɑːzæɾbɑjˈd͡ʒɑn]), officially the Republic of Azerbaijan, is a country located at the boundary of Eastern Europe and Western Asia. It is a part of the Caucasus region, and is bounded by the Caspian Sea to the east, Russia to the north, Georgia to the northwest, Armenia and Turkey to the west, and Iran to the south. Baku is the capital and largest city.
The Azerbaijan Democratic Republic proclaimed its independence from the Transcaucasian Democratic Federative Republic in 1918 and became the first secular democratic Muslim-majority state, taking its name from the adjacent region of northwestern Iran for political reasons. In 1920, the country was incorporated into the Soviet Union as the Azerbaijan SSR.The modern Republic of Azerbaijan proclaimed its independence on 30 August 1991, shortly before the Dissolution of the Soviet Union in the same year. In September 1991, the Armenian majority of the disputed Nagorno-Karabakh region seceded to form the Republic of Artsakh. The region and seven surrounding districts, internationally recognized as part of Azerbaijan pending a solution to the status of the Nagorno-Karabakh through negotiations facilitated by the OSCE, became de facto independent with the end of the First Nagorno-Karabakh War in 1994.
Following the 2020 Nagorno-Karabakh war, the seven districts and parts of Nagorno-Karabakh were returned to Azerbaijani control.Azerbaijan is a unitary semi-presidential republic. It is one of six independent Turkic states and an active member of the Turkic Council and the TÜRKSOY community. Azerbaijan has diplomatic relations with 182 countries and holds membership in 38 international organizations, including the United Nations, the Council of Europe, the Non-Aligned Movement, the OSCE, and the NATO PfP program. It is one of the founding members of GUAM, the CIS, and the OPCW. Azerbaijan is also an observer state of the WTO.
The vast majority of the country's population (97%) is Muslim, but the constitution does not declare an official religion and all major political forces in the country are secularist. Azerbaijan is a developing country and ranks 87th on the Human Development Index. It has a high rate of economic development, literacy, and a low rate of unemployment. The ruling party, the New Azerbaijan Party, in power since 1993, has been accused of authoritarian leadership and the deterioration of the country's human rights record, including increasing restrictions on civil liberties, particularly on press freedom and political repression.",
Francis_Dickoh,da.wikipedia,6200,7,dk,2021-06-28 18:27:44.725419,francis_dickoh,Francis Dickoh,Francis Dickoh (born 13 December 1982) is a Danish-born Ghanaian former professional footballer who played as a centre-back. He regularly features as an expert in the sports media Mediano.,0.9898927807807922
Kasper_Dolberg,da.wikipedia,5400,9,dk,2021-06-28 18:27:44.725419,kasper_dolberg,Kasper Dolberg,"Kasper Dolberg Rasmussen (Danish pronunciation: [ˈkʰæspɐ ˈtʌlˌpɛɐ̯ˀ]; born 6 October 1997) is a Danish professional footballer who plays as a forward for Ligue 1 club Nice and the Denmark national team. Dolberg made his senior debut at Silkeborg IF in May 2015. He joined Ajax in July 2015 and made his debut for the club in July 2016. He represented Denmark at under-16, under-17, under-19 and under-21 level before making his senior international debut in November 2016.
In May 2020 Dolberg was voted as player of the year by the fans of his club OGC Nice. While at Ajax, he was named Dutch Football Talent of the year after his first season in the Eredivisie in 2017.",0.9973350167274475
Europamesterskab_(fodbold),da.wikipedia,5400,10,dk,2021-06-28 18:27:44.725419,europamesterskab_(fodbold),,,
Baku,da.wikipedia,5100,11,dk,2021-06-28 18:27:44.725419,baku,Baku,"Baku (US: , UK: ; Azerbaijani: Bakı, Azerbaijani: [bɑˈcɯ] (listen)) is the capital and largest city of Azerbaijan, as well as the largest city on the Caspian Sea and of the Caucasus region. Baku is located 28 metres (92 ft) below sea level, which makes it the lowest lying national capital in the world and also the largest city in the world located below sea level. Baku lies on the southern shore of the Absheron Peninsula, alongside the Bay of Baku. At the beginning of 2009, Baku's urban population was estimated at just over two million people. Officially, about 25% of all inhabitants of the country live in Baku's metropolitan area. Baku is the sole metropolis in Azerbaijan.
Baku is divided into twelve administrative raions and 48 townships. Among these are the townships on the islands of the Baku Archipelago, and the town of Oil Rocks built on stilts in the Caspian Sea, 60 kilometres (37 miles) away from Baku. The Inner City of Baku, along with the Shirvanshah's Palace and Maiden Tower, were inscribed as a UNESCO World Heritage Site in 2000. According to the Lonely Planet's ranking, Baku is also among the world's top ten destinations for urban nightlife.The city is the scientific, cultural, and industrial centre of Azerbaijan. Many sizeable Azerbaijani institutions have their headquarters there. The Baku International Sea Trade Port is capable of handling two million tonnes of general and dry bulk cargoes per year. In recent years, Baku has become an important venue for international events. It hosted the 57th Eurovision Song Contest in 2012, the 2015 European Games, 4th Islamic Solidarity Games, the  Azerbaijan Grand Prix since 2016, hosted the final of the 2018–19 UEFA Europa League, and is one of the host cities for UEFA Euro 2020.
The city is renowned for its harsh winds, which is reflected in its nickname, the ""City of Winds"".",0.9974051117897034
Kasper_Hjulmand,da.wikipedia,4900,12,dk,2021-06-28 18:27:44.725419,kasper_hjulmand,Kasper Hjulmand,Kasper Hjulmand (born 9 April 1972) is a Danish football manager and a former player. He is currently the head coach for the Danish national team.,0.9926300048828125
FIFA_World_Rankings,en.wikipedia,4600,13,dk,2021-06-28 18:27:44.725419,fifa_world_rankings,FIFA World Rankings,"The men's FIFA World Ranking is a ranking system for men's national teams in association football, currently led by Belgium. The teams of the men's member nations of FIFA, football's world governing body, are ranked based on their game results with the most successful teams being ranked highest. The rankings were introduced in December 1992, and eight teams (Argentina, Belgium, Brazil, France, Germany, Italy, the Netherlands and Spain) have held the top position, of which Brazil have spent the longest ranked first.
A points system is used, with points being awarded based on the results of all FIFA-recognised full international matches.
The ranking system has been revamped on several occasions, generally responding to criticism that the preceding calculation method did not effectively reflect the relative strengths of the national teams. The current version of the ranking system was first used on 16 August 2018, adapted from the Elo rating system used in chess and Go.",-0.9622381925582886
Joakim_Mæhle,da.wikipedia,4300,14,dk,2021-06-28 18:27:44.725419,joakim_maehle,Joakim Mæhle,"Joakim Mæhle Pedersen (born 20 May 1997) is a Danish professional footballer who plays as a full-back for Serie A club Atalanta and the Denmark national team.

",0.987250030040741
FIFA's_verdensrangliste,da.wikipedia,4100,15,dk,2021-06-28 18:27:44.725419,fifa's_verdensrangliste,,,
Europamesterskabet_i_fodbold_2020,da.wikipedia,3400,16,dk,2021-06-28 18:27:44.725419,europamesterskabet_i_fodbold_2020,,,
Krzysztof_Kieślowski,da.wikipedia,3400,17,dk,2021-06-28 18:27:44.725419,krzysztof_kieslowski,Krzysztof Kieślowski,"Krzysztof Kieślowski (Polish: [ˈkʂɨʂtɔf kʲɛɕˈlɔfskʲi] (listen); 27 June 1941 – 13 March 1996) was a Polish film director and screenwriter. He is known internationally for Dekalog (1989), The Double Life of Veronique (1991), and the Three Colours trilogy (1993
–1994). Kieślowski received numerous awards during his career, including the Cannes Film Festival Jury Prize (1988), FIPRESCI Prize (1988, 1991), and Prize of the Ecumenical Jury (1991); the Venice Film Festival FIPRESCI Prize (1989), Golden Lion (1993), and OCIC Award (1993); and the Berlin International Film Festival Silver Bear (1994). In 1995, he received Academy Award nominations for Best Director and Best Writing.In 2002, Kieślowski was listed at number two on the British Film Institute's Sight & Sound list of the top ten film directors of modern times.

",0.998961329460144
Danmarks_fodboldlandshold,da.wikipedia,3300,18,dk,2021-06-28 18:27:44.725419,danmarks_fodboldlandshold,Denmark national football team,"The Denmark national football team (Danish: Danmarks fodboldlandshold) represents Denmark in men's international football competition, and is controlled by the Danish Football Association (DBU), the governing body for the football clubs which are organized under DBU. Denmark's home stadium is Parken Stadium in the Østerbro district of Copenhagen, and their head coach is Kasper Hjulmand.
Denmark were the winners of the Football at the 1906 Intercalated Games and silver medalists at the 1908 and 1912 Olympics. However, as amateurs who prohibited their internationals from becoming professionals at foreign clubs, Denmark did not qualify for the FIFA World Cup until 1986, although they won another Olympic silver in 1960.
Since 1983, the team has continuously been visible as a solidly competitive side, with the triumph in the 1992 European Championship in Sweden as its most prominent victory, defeating defending champions the Netherlands in the semi-final and world champions Germany in the final. They also won the 1995 King Fahd Cup, defeating Argentina in the final. Their best World Cup result was achieved in 1998, where they narrowly lost 3–2 in a quarter-final against Brazil. Denmark also made the second round in 1986, 2002 and 2018.",0.9995132684707642
Verdens_hovedstæder,da.wikipedia,3200,19,dk,2021-06-28 18:27:44.725419,verdens_hovedstaeder,,,
Tour_de_France_2021,da.wikipedia,2900,20,dk,2021-06-28 18:27:44.725419,tour_de_france_2021,2021 Tour de France,"The 2021 Tour de France is the 108th edition of the Tour de France, one of cycling's three grand tours. Originally planned for the Danish capital of Copenhagen, the start of the 2021 Tour (known as the Grand Départ) was transferred to Brest due to the impact of the COVID-19 pandemic, with Copenhagen hosting four matches in the UEFA Euro 2020 and that event also being rescheduled to 2021 due to the pandemic. Originally scheduled for 2 to 25 July 2021, the Tour was moved to 26 June to 18 July 2021 to avoid the rescheduled 2020 Summer Olympics. This would have been the first occasion on which the Tour de France had visited Denmark. Denmark will now host the Grand Départ in 2022.

",-0.9157172441482544
Cristiano_Ronaldo,en.wikipedia,2800,21,dk,2021-06-28 18:27:44.725419,cristiano_ronaldo,Cristiano Ronaldo,"Cristiano Ronaldo dos Santos Aveiro GOIH ComM (Portuguese pronunciation: [kɾiʃˈtjɐnu ʁɔˈnaɫdu]; born 5 February 1985) is a Portuguese professional footballer who plays as a forward for Serie A club Juventus and captains the Portugal national team. Often considered the best player in the world and  widely regarded as one of the greatest players of all time, Ronaldo has won five Ballon d'Or awards and four European Golden Shoes, both of which are records for a European player. He has won 32 major trophies in his career, including seven league titles, five UEFA Champions Leagues, one UEFA European Championship, and one UEFA Nations League title. Ronaldo holds the records for the most international goals (109, tied with Ali Daei), the most goals in the Champions League (134) and the most goals in the European Championship (14). He is one of the few recorded players to have made over 1,100 professional career appearances and has scored over 780 official senior career goals for club and country.
Born and raised in Madeira, Ronaldo began his senior club career playing for Sporting CP, before signing with Manchester United in 2003, aged 18. After winning the FA Cup in his first season, he helped United win three successive Premier League titles, the Champions League, and the FIFA Club World Cup; at age 23, he won his first Ballon d'Or. In 2009, Ronaldo was the subject of the then-most expensive association football transfer when he signed for Real Madrid in a transfer worth €94 million (£80 million). There, he won 15 trophies, including two La Liga titles, two Copas del Rey, and four Champions League titles, and became the club's all-time top goalscorer. After joining Madrid, Ronaldo finished runner-up for the Ballon d'Or three times, behind Lionel Messi – his perceived career rival – before winning back-to-back Ballons d'Or from 2013–2014 and again from 2016–2017. After winning a third consecutive Champions League title in 2018, Ronaldo became the first player to win the trophy five times. In 2018, he signed for Juventus in a transfer worth an initial €100 million (£88 million), the highest fee ever paid by an Italian club and the highest ever paid for a player over 30 years old. He won two Serie A titles, two Supercoppa Italiana and a Coppa Italia in his first three seasons with the club.
Ronaldo made his senior international debut for Portugal in 2003 at age 18, and has since earned over 170 caps, including appearing and scoring in eleven major tournaments, becoming Portugal's most capped player and his country's all-time top goalscorer. He scored his first international goal at Euro 2004 where he helped Portugal reach the final and assumed full captaincy of the national team in July 2008. In 2015 Ronaldo was named the best Portuguese player of all time by the Portuguese Football Federation. The following year he led Portugal to their first triumph in a major tournament by winning Euro 2016, and received the Silver Boot as the second-highest goalscorer of the tournament.
One of the most marketable and famous athletes in the world, Ronaldo was ranked the world's highest-paid athlete by Forbes in 2016 and 2017 and the world's most famous athlete by ESPN from 2016 to 2019. Time included him on their list of the 100 most influential people in the world in 2014. He is the first footballer, as well as only the third sportsman, to earn $1 billion in their career.",
Krzysztof_Kieślowski,en.wikipedia,2700,22,dk,2021-06-28 18:27:44.725419,krzysztof_kieslowski,Krzysztof Kieślowski,"Krzysztof Kieślowski (Polish: [ˈkʂɨʂtɔf kʲɛɕˈlɔfskʲi] (listen); 27 June 1941 – 13 March 1996) was a Polish film director and screenwriter. He is known internationally for Dekalog (1989), The Double Life of Veronique (1991), and the Three Colours trilogy (1993
–1994). Kieślowski received numerous awards during his career, including the Cannes Film Festival Jury Prize (1988), FIPRESCI Prize (1988, 1991), and Prize of the Ecumenical Jury (1991); the Venice Film Festival FIPRESCI Prize (1989), Golden Lion (1993), and OCIC Award (1993); and the Berlin International Film Festival Silver Bear (1994). In 1995, he received Academy Award nominations for Best Director and Best Writing.In 2002, Kieślowski was listed at number two on the British Film Institute's Sight & Sound list of the top ten film directors of modern times.

",0.998961329460144
VM_i_fodbold,da.wikipedia,2600,23,dk,2021-06-28 18:27:44.725419,vm_i_fodbold,2010 FIFA World Cup broadcasting rights,"FIFA, through several companies, sold the rights for the broadcast of 2010 FIFA World Cup to the following broadcasters.",-0.9198769927024841
Cleopatra,es.wikipedia,2000,3,do,2021-06-28 18:27:44.725419,cleopatra,Cleopatra,"Cleopatra VII Philopator (Koinē Greek: Κλεοπάτρα Φιλοπάτωρ; 69 BC – 10 August 30 BC) was the last active ruler of the Ptolemaic Kingdom of Egypt. A member of the Ptolemaic dynasty, she was a descendant of its founder Ptolemy I Soter, a Macedonian Greek general and companion of Alexander the Great. After the death of Cleopatra, Egypt became a province of the Roman Empire, marking the end of the second to last Hellenistic state and the age that had lasted since the reign of Alexander (336–323 BC). Her native language was Koine Greek, and she was the only Ptolemaic ruler to learn the Egyptian language.In 58 BC, Cleopatra presumably accompanied her father, Ptolemy XII Auletes, during his exile to Rome after a revolt in Egypt (a Roman client state) allowing his daughter Berenice IV to claim the throne. Berenice was killed in 55 BC when Ptolemy returned to Egypt with Roman military assistance. When he died in 51 BC, the joint reign of Cleopatra and her brother Ptolemy XIII began, but a falling-out between them led to open civil war. After losing the 48 BC Battle of Pharsalus in Greece against his rival Julius Caesar (a Roman dictator and consul) in Caesar's Civil War, the Roman statesman Pompey fled to Egypt. Pompey had been a political ally of Ptolemy XII, but Ptolemy XIII, at the urging of his court eunuchs, had Pompey ambushed and killed before Caesar arrived and occupied Alexandria. Caesar then attempted to reconcile the rival Ptolemaic siblings, but Ptolemy's chief adviser, Potheinos, viewed Caesar's terms as favoring Cleopatra, so his forces besieged her and Caesar at the palace. Shortly after the siege was lifted by reinforcements, Ptolemy XIII died in the 47 BC Battle of the Nile; Cleopatra's half-sister Arsinoe IV was eventually exiled to Ephesus for her role in carrying out the siege. Caesar declared Cleopatra and her brother Ptolemy XIV joint rulers but maintained a private affair with Cleopatra that produced a son, Caesarion. Cleopatra traveled to Rome as a client queen in 46 and 44 BC, where she stayed at Caesar's villa. After the assassinations of Caesar and (on her orders) Ptolemy XIV in 44 BC, she named Caesarion co-ruler.
In the Liberators' civil war of 43–42 BC, Cleopatra sided with the Roman Second Triumvirate formed by Caesar's grandnephew and heir Octavian, Mark Antony, and Marcus Aemilius Lepidus. After their meeting at Tarsos in 41 BC, the queen had an affair with Antony. He carried out the execution of Arsinoe at her request, and became increasingly reliant on Cleopatra for both funding and military aid during his invasions of the Parthian Empire and the Kingdom of Armenia. The Donations of Alexandria declared their children Alexander Helios, Cleopatra Selene II, and Ptolemy Philadelphus rulers over various erstwhile territories under Antony's triumviral authority. This event, their marriage, and Antony's divorce of Octavian's sister Octavia Minor led to the Final War of the Roman Republic. Octavian engaged in a war of propaganda, forced Antony's allies in the Roman Senate to flee Rome in 32 BC, and declared war on Cleopatra. After defeating Antony and Cleopatra's naval fleet at the 31 BC Battle of Actium, Octavian's forces invaded Egypt in 30 BC and defeated Antony, leading to Antony's suicide. When Cleopatra learned that Octavian planned to bring her to his Roman triumphal procession, she killed herself by poisoning, contrary to the popular belief that she was bitten by an asp.
Cleopatra's legacy survives in ancient and modern works of art. Roman historiography and Latin poetry produced a generally critical view of the queen that pervaded later Medieval and Renaissance literature. In the visual arts, her ancient depictions include Roman busts, paintings, and sculptures, cameo carvings and glass, Ptolemaic and Roman coinage, and reliefs. In Renaissance and Baroque art, she was the subject of many works including operas, paintings, poetry, sculptures, and theatrical dramas. She has become a pop culture icon of Egyptomania since the Victorian era, and in modern times, Cleopatra has appeared in the applied and fine arts, burlesque satire, Hollywood films, and brand images for commercial products.",
Copa_América_2021,es.wikipedia,3900,2,ec,2021-06-28 18:27:44.725419,copa_america_2021,2021 Copa América,"The 2021 Copa América is the ongoing  47th edition of the Copa América, the international men's football championship organised by South America's football ruling body CONMEBOL. The tournament is taking place in Brazil from 13 June to 10 July 2021. The tournament was originally scheduled to take place from 12 June to 12 July 2020 in Argentina and Colombia as the 2020 Copa América. On 17 March 2020, CONMEBOL announced that due to the COVID-19 pandemic in South America, the tournament had been postponed for a year, in conjunction with UEFA's decision to also postpone UEFA Euro 2020 to 2021.On 20 May 2021, Colombia was removed as co-host amid ongoing protests against President Iván Duque Márquez, and Argentina was then removed on 30 May due to COVID-19 issues. The following day CONMEBOL confirmed Brazil as the new host of the tournament.Hosts Brazil are the title holders, having won their ninth title in 2019, which they also hosted.",-0.7644291520118713
Cleopatra,es.wikipedia,3000,4,ec,2021-06-28 18:27:44.725419,cleopatra,Cleopatra,"Cleopatra VII Philopator (Koinē Greek: Κλεοπάτρα Φιλοπάτωρ; 69 BC – 10 August 30 BC) was the last active ruler of the Ptolemaic Kingdom of Egypt. A member of the Ptolemaic dynasty, she was a descendant of its founder Ptolemy I Soter, a Macedonian Greek general and companion of Alexander the Great. After the death of Cleopatra, Egypt became a province of the Roman Empire, marking the end of the second to last Hellenistic state and the age that had lasted since the reign of Alexander (336–323 BC). Her native language was Koine Greek, and she was the only Ptolemaic ruler to learn the Egyptian language.In 58 BC, Cleopatra presumably accompanied her father, Ptolemy XII Auletes, during his exile to Rome after a revolt in Egypt (a Roman client state) allowing his daughter Berenice IV to claim the throne. Berenice was killed in 55 BC when Ptolemy returned to Egypt with Roman military assistance. When he died in 51 BC, the joint reign of Cleopatra and her brother Ptolemy XIII began, but a falling-out between them led to open civil war. After losing the 48 BC Battle of Pharsalus in Greece against his rival Julius Caesar (a Roman dictator and consul) in Caesar's Civil War, the Roman statesman Pompey fled to Egypt. Pompey had been a political ally of Ptolemy XII, but Ptolemy XIII, at the urging of his court eunuchs, had Pompey ambushed and killed before Caesar arrived and occupied Alexandria. Caesar then attempted to reconcile the rival Ptolemaic siblings, but Ptolemy's chief adviser, Potheinos, viewed Caesar's terms as favoring Cleopatra, so his forces besieged her and Caesar at the palace. Shortly after the siege was lifted by reinforcements, Ptolemy XIII died in the 47 BC Battle of the Nile; Cleopatra's half-sister Arsinoe IV was eventually exiled to Ephesus for her role in carrying out the siege. Caesar declared Cleopatra and her brother Ptolemy XIV joint rulers but maintained a private affair with Cleopatra that produced a son, Caesarion. Cleopatra traveled to Rome as a client queen in 46 and 44 BC, where she stayed at Caesar's villa. After the assassinations of Caesar and (on her orders) Ptolemy XIV in 44 BC, she named Caesarion co-ruler.
In the Liberators' civil war of 43–42 BC, Cleopatra sided with the Roman Second Triumvirate formed by Caesar's grandnephew and heir Octavian, Mark Antony, and Marcus Aemilius Lepidus. After their meeting at Tarsos in 41 BC, the queen had an affair with Antony. He carried out the execution of Arsinoe at her request, and became increasingly reliant on Cleopatra for both funding and military aid during his invasions of the Parthian Empire and the Kingdom of Armenia. The Donations of Alexandria declared their children Alexander Helios, Cleopatra Selene II, and Ptolemy Philadelphus rulers over various erstwhile territories under Antony's triumviral authority. This event, their marriage, and Antony's divorce of Octavian's sister Octavia Minor led to the Final War of the Roman Republic. Octavian engaged in a war of propaganda, forced Antony's allies in the Roman Senate to flee Rome in 32 BC, and declared war on Cleopatra. After defeating Antony and Cleopatra's naval fleet at the 31 BC Battle of Actium, Octavian's forces invaded Egypt in 30 BC and defeated Antony, leading to Antony's suicide. When Cleopatra learned that Octavian planned to bring her to his Roman triumphal procession, she killed herself by poisoning, contrary to the popular belief that she was bitten by an asp.
Cleopatra's legacy survives in ancient and modern works of art. Roman historiography and Latin poetry produced a generally critical view of the queen that pervaded later Medieval and Renaissance literature. In the visual arts, her ancient depictions include Roman busts, paintings, and sculptures, cameo carvings and glass, Ptolemaic and Roman coinage, and reliefs. In Renaissance and Baroque art, she was the subject of many works including operas, paintings, poetry, sculptures, and theatrical dramas. She has become a pop culture icon of Egyptomania since the Victorian era, and in modern times, Cleopatra has appeared in the applied and fine arts, burlesque satire, Hollywood films, and brand images for commercial products.",
Eurocopa_2020,es.wikipedia,1800,6,ec,2021-06-28 18:27:44.725419,eurocopa_2020,UEFA Euro 2020 broadcasting rights,"UEFA Euro 2020 is an ongoing international football tournament taking place in June and July 2021 involving 24 men's national teams from nations affiliated to the Union of European Football Associations (UEFA). The tournament is being broadcast via television and radio all over the world.

",0.9966498613357544
Úrsula_Strenge,es.wikipedia,1500,7,ec,2021-06-28 18:27:44.725419,ursula_strenge,The X Factor,"The X Factor is a television music competition franchise created by British producer Simon Cowell and his company SYCOtv. It originated in the United Kingdom, where it was devised as a replacement for Pop Idol (2001–2003), and has been adapted in various countries. The ""X Factor"" of the title refers to the undefinable ""something"" that makes for star quality.The prize is usually a recording contract, in addition to the publicity that appearance in the later stages of the show itself generates, not only for the winner but also for other highly ranked contestants.
Unlike Idols, where the judges only critique the contestants' performances, on The X Factor each judge ""mentors"" the finalists in a particular category, aiding them with song selection and styling, while also participating together in judging the contestants in the other categories. Not only Idols, but also new singing shows such as The Voice, The Four and All Together Now have become rivals and popular in recent years.
Similar to Got Talent, the franchise maintains a YouTube channel, called X Factor Global. The channel uploads clips of X Factor shows from around the world. The channel currently has over 3 million subscribers. There are many more channels like this. Additionally, many individual X Factor shows have their own YouTube channels such as X Factor India.",-0.5452753901481628
UEFA_Euro_2020,en.wikipedia,1900,2,ee,2021-06-28 18:27:44.725419,uefa_euro_2020,UEFA Euro 2020,"The 2020 UEFA European Football Championship, commonly referred to as UEFA Euro 2020, or simply Euro 2020, is the 16th UEFA European Championship, the quadrennial international men's football championship of Europe organised by the Union of European Football Associations (UEFA).The tournament, being held in 11 cities in 11 UEFA countries, was originally scheduled from 12 June to 12 July 2020, but was postponed due to the COVID-19 pandemic in Europe and rescheduled for 11 June to 11 July 2021. It retains the name UEFA Euro 2020. Portugal were the defending champions, having won the 2016 competition in France, but were eliminated in the round of 16 against Belgium. The video assistant referee (VAR) system makes its debut at the European Championship in this tournament.UEFA President Michel Platini said in 2012 that the tournament was to be hosted in several nations as a ""romantic"" one-off event to celebrate the 60th ""birthday"" of the European Championship competition. Having the largest capacity of any of the stadiums entered for the competition, Wembley Stadium in London is scheduled to host the semi-finals and final for the second time, having done so before at the 1996 tournament in the stadium's former incarnation. The Stadio Olimpico in Rome was chosen to host the opening game, involving Turkey and hosts Italy. Originally to be played at 13 venues, two hosts were later removed: Brussels in December 2017 due to the abandonment of building the Eurostadium, and Dublin in April 2021 as there was no guarantee that spectators could attend. Spain also changed their host city from Bilbao to Seville to allow an audience at matches.",-0.7214534282684326
Cristiano_Ronaldo,fi.wikipedia,8500,3,fi,2021-06-28 18:27:44.725419,cristiano_ronaldo,Cristiano Ronaldo,"Cristiano Ronaldo dos Santos Aveiro GOIH ComM (Portuguese pronunciation: [kɾiʃˈtjɐnu ʁɔˈnaɫdu]; born 5 February 1985) is a Portuguese professional footballer who plays as a forward for Serie A club Juventus and captains the Portugal national team. Often considered the best player in the world and  widely regarded as one of the greatest players of all time, Ronaldo has won five Ballon d'Or awards and four European Golden Shoes, both of which are records for a European player. He has won 32 major trophies in his career, including seven league titles, five UEFA Champions Leagues, one UEFA European Championship, and one UEFA Nations League title. Ronaldo holds the records for the most international goals (109, tied with Ali Daei), the most goals in the Champions League (134) and the most goals in the European Championship (14). He is one of the few recorded players to have made over 1,100 professional career appearances and has scored over 780 official senior career goals for club and country.
Born and raised in Madeira, Ronaldo began his senior club career playing for Sporting CP, before signing with Manchester United in 2003, aged 18. After winning the FA Cup in his first season, he helped United win three successive Premier League titles, the Champions League, and the FIFA Club World Cup; at age 23, he won his first Ballon d'Or. In 2009, Ronaldo was the subject of the then-most expensive association football transfer when he signed for Real Madrid in a transfer worth €94 million (£80 million). There, he won 15 trophies, including two La Liga titles, two Copas del Rey, and four Champions League titles, and became the club's all-time top goalscorer. After joining Madrid, Ronaldo finished runner-up for the Ballon d'Or three times, behind Lionel Messi – his perceived career rival – before winning back-to-back Ballons d'Or from 2013–2014 and again from 2016–2017. After winning a third consecutive Champions League title in 2018, Ronaldo became the first player to win the trophy five times. In 2018, he signed for Juventus in a transfer worth an initial €100 million (£88 million), the highest fee ever paid by an Italian club and the highest ever paid for a player over 30 years old. He won two Serie A titles, two Supercoppa Italiana and a Coppa Italia in his first three seasons with the club.
Ronaldo made his senior international debut for Portugal in 2003 at age 18, and has since earned over 170 caps, including appearing and scoring in eleven major tournaments, becoming Portugal's most capped player and his country's all-time top goalscorer. He scored his first international goal at Euro 2004 where he helped Portugal reach the final and assumed full captaincy of the national team in July 2008. In 2015 Ronaldo was named the best Portuguese player of all time by the Portuguese Football Federation. The following year he led Portugal to their first triumph in a major tournament by winning Euro 2016, and received the Silver Boot as the second-highest goalscorer of the tournament.
One of the most marketable and famous athletes in the world, Ronaldo was ranked the world's highest-paid athlete by Forbes in 2016 and 2017 and the world's most famous athlete by ESPN from 2016 to 2019. Time included him on their list of the 100 most influential people in the world in 2014. He is the first footballer, as well as only the third sportsman, to earn $1 billion in their career.",
Toiminnot:Haku,fi.wikipedia,7100,4,fi,2021-06-28 18:27:44.725419,toiminnot:haku,,,
Krzysztof_Kieślowski,fi.wikipedia,6200,5,fi,2021-06-28 18:27:44.725419,krzysztof_kieslowski,Krzysztof Kieślowski,"Krzysztof Kieślowski (Polish: [ˈkʂɨʂtɔf kʲɛɕˈlɔfskʲi] (listen); 27 June 1941 – 13 March 1996) was a Polish film director and screenwriter. He is known internationally for Dekalog (1989), The Double Life of Veronique (1991), and the Three Colours trilogy (1993
–1994). Kieślowski received numerous awards during his career, including the Cannes Film Festival Jury Prize (1988), FIPRESCI Prize (1988, 1991), and Prize of the Ecumenical Jury (1991); the Venice Film Festival FIPRESCI Prize (1989), Golden Lion (1993), and OCIC Award (1993); and the Berlin International Film Festival Silver Bear (1994). In 1995, he received Academy Award nominations for Best Director and Best Writing.In 2002, Kieślowski was listed at number two on the British Film Institute's Sight & Sound list of the top ten film directors of modern times.

",0.998961329460144
Romelu_Lukaku,fi.wikipedia,4300,7,fi,2021-06-28 18:27:44.725419,romelu_lukaku,Romelu Lukaku,"Romelu Menama Lukaku Bolingoli (Dutch pronunciation: [ˈroːmeːlu luˈkaːku]; born 13 May 1993) is a Belgian professional footballer who plays as a striker for Serie A club Inter Milan and the Belgium national team.
Born in Antwerp, Lukaku began his professional career at Belgian Pro League club Anderlecht in 2009, where he made his senior debut, at age 16. He won the league's top goalscorer, the league championship and the Belgian Ebony Shoe there. He signed for English side Chelsea in 2011, but featured sparingly in his first season and joined West Bromwich Albion on loan in 2012. He helped them to an unexpected eighth-place finish in the 2012–13 season and ahead of the 2013–14 season, he joined Everton on loan. After helping Everton reach a club-record points tally, Lukaku joined the team in a permanent deal worth a club-record fee of £28 million in 2014. After being named in the 2016–17 PFA Team of the Year, Lukaku signed for Manchester United in 2017, for an initial fee of £75 million. After two seasons in Manchester Lukaku's relationship with the club deteriorated. He failed to return for pre-season training, was fined, and subsequently signed for Inter Milan in August 2019, for a reported club record €80 million; he won the Serie A title in his second season with the club and was named the league's Most Valuable Player.
A Belgian international, Lukaku has played 96 games for his country, and scored 63 goals, making him Belgium's all-time top goalscorer. Lukaku made his senior international debut for Belgium in 2010, at age 17, and has since represented his country at four major tournaments, including two FIFA World Cups and two UEFA European Championships. At the 2018 World Cup, Lukaku led Belgium to a third-place finish by finishing as the joint second-highest goalscorer, and won the Bronze Boot.",0.9964163899421692
